read,cycle,cell,i,j,tile,well,channel,intensity
95,1,11,6,1733,0,Well6,Cy3,0
95,2,11,6,1733,0,Well6,Cy3,-8
95,3,11,6,1733,0,Well6,Cy3,1
95,4,11,6,1733,0,Well6,Cy3,54
184,1,11,8,1725,0,Well6,Cy3,0
184,2,11,8,1725,0,Well6,Cy3,6
184,3,11,8,1725,0,Well6,Cy3,-1
184,4,11,8,1725,0,Well6,Cy3,0
469,1,11,14,1729,0,Well6,Cy3,0
469,2,11,14,1729,0,Well6,Cy3,3
469,3,11,14,1729,0,Well6,Cy3,0
469,4,11,14,1729,0,Well6,Cy3,0
51,1,12,5,1977,0,Well6,Cy3,-4
51,2,12,5,1977,0,Well6,Cy3,227
51,3,12,5,1977,0,Well6,Cy3,0
51,4,12,5,1977,0,Well6,Cy3,1
52,1,12,5,1985,0,Well6,Cy3,-413
52,2,12,5,1985,0,Well6,Cy3,0
52,3,12,5,1985,0,Well6,Cy3,0
52,4,12,5,1985,0,Well6,Cy3,1
230,1,12,9,1991,0,Well6,Cy3,-83
230,2,12,9,1991,0,Well6,Cy3,3
230,3,12,9,1991,0,Well6,Cy3,0
230,4,12,9,1991,0,Well6,Cy3,0
705,1,12,19,1985,0,Well6,Cy3,-4
705,2,12,19,1985,0,Well6,Cy3,72
705,3,12,19,1985,0,Well6,Cy3,0
705,4,12,19,1985,0,Well6,Cy3,0
140,1,13,7,1792,0,Well6,Cy3,0
140,2,13,7,1792,0,Well6,Cy3,91
140,3,13,7,1792,0,Well6,Cy3,0
140,4,13,7,1792,0,Well6,Cy3,0
141,1,13,7,1797,0,Well6,Cy3,1
141,2,13,7,1797,0,Well6,Cy3,821
141,3,13,7,1797,0,Well6,Cy3,0
141,4,13,7,1797,0,Well6,Cy3,-2
279,1,13,10,1805,0,Well6,Cy3,-24
279,2,13,10,1805,0,Well6,Cy3,-2
279,3,13,10,1805,0,Well6,Cy3,0
279,4,13,10,1805,0,Well6,Cy3,0
428,1,13,13,1792,0,Well6,Cy3,3
428,2,13,13,1792,0,Well6,Cy3,570
428,3,13,13,1792,0,Well6,Cy3,1
428,4,13,13,1792,0,Well6,Cy3,2
568,1,13,16,1794,0,Well6,Cy3,1
568,2,13,16,1794,0,Well6,Cy3,524
568,3,13,16,1794,0,Well6,Cy3,0
568,4,13,16,1794,0,Well6,Cy3,-1
283,1,14,10,2022,0,Well6,Cy3,2
283,2,14,10,2022,0,Well6,Cy3,-1
283,3,14,10,2022,0,Well6,Cy3,-1
283,4,14,10,2022,0,Well6,Cy3,0
329,1,14,11,2031,0,Well6,Cy3,-8
329,2,14,11,2031,0,Well6,Cy3,6
329,3,14,11,2031,0,Well6,Cy3,0
329,4,14,11,2031,0,Well6,Cy3,1
381,1,14,12,2027,0,Well6,Cy3,-71
381,2,14,12,2027,0,Well6,Cy3,-9
381,3,14,12,2027,0,Well6,Cy3,0
381,4,14,12,2027,0,Well6,Cy3,0
384,1,15,13,110,0,Well6,Cy3,2
384,2,15,13,110,0,Well6,Cy3,514
384,3,15,13,110,0,Well6,Cy3,0
384,4,15,13,110,0,Well6,Cy3,0
431,1,15,14,115,0,Well6,Cy3,-5
431,2,15,14,115,0,Well6,Cy3,-6
431,3,15,14,115,0,Well6,Cy3,-1
431,4,15,14,115,0,Well6,Cy3,-1
330,1,16,12,152,0,Well6,Cy3,0
330,2,16,12,152,0,Well6,Cy3,101
330,3,16,12,152,0,Well6,Cy3,5
330,4,16,12,152,0,Well6,Cy3,1
