read,cycle,channel,intensity,cell,i,j,tile,well
95,1,GFP,10,11,6,1733,0,Well6
95,1,Cy3,14,11,6,1733,0,Well6
95,1,Far-red,20,11,6,1733,0,Well6
95,2,GFP,110,11,6,1733,0,Well6
95,2,Cy3,125,11,6,1733,0,Well6
95,2,Far-red,700,11,6,1733,0,Well6
95,3,GFP,37,11,6,1733,0,Well6
95,3,Cy3,37,11,6,1733,0,Well6
95,3,Far-red,21,11,6,1733,0,Well6
95,4,GFP,116,11,6,1733,0,Well6
95,4,Cy3,1035,11,6,1733,0,Well6
95,4,Far-red,63,11,6,1733,0,Well6
184,1,GFP,3,11,8,1725,0,Well6
184,1,Cy3,3,11,8,1725,0,Well6
184,1,Far-red,0,11,8,1725,0,Well6
184,2,GFP,317,11,8,1725,0,Well6
184,2,Cy3,280,11,8,1725,0,Well6
184,2,Far-red,194,11,8,1725,0,Well6
184,3,GFP,122,11,8,1725,0,Well6
184,3,Cy3,11,11,8,1725,0,Well6
184,3,Far-red,18,11,8,1725,0,Well6
184,4,GFP,49,11,8,1725,0,Well6
184,4,Cy3,5,11,8,1725,0,Well6
184,4,Far-red,13,11,8,1725,0,Well6
469,1,GFP,86,11,14,1729,0,Well6
469,1,Cy3,20,11,14,1729,0,Well6
469,1,Far-red,0,11,14,1729,0,Well6
469,2,GFP,284,11,14,1729,0,Well6
469,2,Cy3,284,11,14,1729,0,Well6
469,2,Far-red,388,11,14,1729,0,Well6
469,3,GFP,66,11,14,1729,0,Well6
469,3,Cy3,28,11,14,1729,0,Well6
469,3,Far-red,14,11,14,1729,0,Well6
469,4,GFP,3,11,14,1729,0,Well6
469,4,Cy3,16,11,14,1729,0,Well6
469,4,Far-red,0,11,14,1729,0,Well6
51,1,GFP,381,12,5,1977,0,Well6
51,1,Cy3,496,12,5,1977,0,Well6
51,1,Far-red,1266,12,5,1977,0,Well6
51,2,GFP,7435,12,5,1977,0,Well6
51,2,Cy3,6217,12,5,1977,0,Well6
51,2,Far-red,47,12,5,1977,0,Well6
51,3,GFP,58,12,5,1977,0,Well6
51,3,Cy3,16,12,5,1977,0,Well6
51,3,Far-red,2,12,5,1977,0,Well6
51,4,GFP,53,12,5,1977,0,Well6
51,4,Cy3,37,12,5,1977,0,Well6
51,4,Far-red,6,12,5,1977,0,Well6
52,1,GFP,21283,12,5,1985,0,Well6
52,1,Cy3,464,12,5,1985,0,Well6
52,1,Far-red,5370,12,5,1985,0,Well6
52,2,GFP,0,12,5,1985,0,Well6
52,2,Cy3,49,12,5,1985,0,Well6
52,2,Far-red,133,12,5,1985,0,Well6
52,3,GFP,44,12,5,1985,0,Well6
52,3,Cy3,21,12,5,1985,0,Well6
52,3,Far-red,31,12,5,1985,0,Well6
52,4,GFP,79,12,5,1985,0,Well6
52,4,Cy3,57,12,5,1985,0,Well6
52,4,Far-red,3,12,5,1985,0,Well6
230,1,GFP,4254,12,9,1991,0,Well6
230,1,Cy3,75,12,9,1991,0,Well6
230,1,Far-red,1088,12,9,1991,0,Well6
230,2,GFP,154,12,9,1991,0,Well6
230,2,Cy3,157,12,9,1991,0,Well6
230,2,Far-red,121,12,9,1991,0,Well6
230,3,GFP,99,12,9,1991,0,Well6
230,3,Cy3,40,12,9,1991,0,Well6
230,3,Far-red,10,12,9,1991,0,Well6
230,4,GFP,28,12,9,1991,0,Well6
230,4,Cy3,27,12,9,1991,0,Well6
230,4,Far-red,51,12,9,1991,0,Well6
705,1,GFP,188,12,19,1985,0,Well6
705,1,Cy3,262,12,19,1985,0,Well6
705,1,Far-red,773,12,19,1985,0,Well6
705,2,GFP,2430,12,19,1985,0,Well6
705,2,Cy3,2060,12,19,1985,0,Well6
705,2,Far-red,183,12,19,1985,0,Well6
705,3,GFP,91,12,19,1985,0,Well6
705,3,Cy3,26,12,19,1985,0,Well6
705,3,Far-red,11,12,19,1985,0,Well6
705,4,GFP,21,12,19,1985,0,Well6
705,4,Cy3,16,12,19,1985,0,Well6
705,4,Far-red,27,12,19,1985,0,Well6
140,1,GFP,61,13,7,1792,0,Well6
140,1,Cy3,89,13,7,1792,0,Well6
140,1,Far-red,194,13,7,1792,0,Well6
140,2,GFP,5961,13,7,1792,0,Well6
140,2,Cy3,3380,13,7,1792,0,Well6
140,2,Far-red,142,13,7,1792,0,Well6
140,3,GFP,65,13,7,1792,0,Well6
140,3,Cy3,27,13,7,1792,0,Well6
140,3,Far-red,21,13,7,1792,0,Well6
140,4,GFP,70,13,7,1792,0,Well6
140,4,Cy3,32,13,7,1792,0,Well6
140,4,Far-red,27,13,7,1792,0,Well6
141,1,GFP,18,13,7,1797,0,Well6
141,1,Cy3,46,13,7,1797,0,Well6
141,1,Far-red,15,13,7,1797,0,Well6
141,2,GFP,13842,13,7,1797,0,Well6
141,2,Cy3,18759,13,7,1797,0,Well6
141,2,Far-red,62,13,7,1797,0,Well6
141,3,GFP,86,13,7,1797,0,Well6
141,3,Cy3,39,13,7,1797,0,Well6
141,3,Far-red,22,13,7,1797,0,Well6
141,4,GFP,86,13,7,1797,0,Well6
141,4,Cy3,4,13,7,1797,0,Well6
141,4,Far-red,52,13,7,1797,0,Well6
279,1,GFP,1458,13,10,1805,0,Well6
279,1,Cy3,173,13,10,1805,0,Well6
279,1,Far-red,587,13,10,1805,0,Well6
279,2,GFP,0,13,10,1805,0,Well6
279,2,Cy3,0,13,10,1805,0,Well6
279,2,Far-red,118,13,10,1805,0,Well6
279,3,GFP,105,13,10,1805,0,Well6
279,3,Cy3,52,13,10,1805,0,Well6
279,3,Far-red,21,13,10,1805,0,Well6
279,4,GFP,53,13,10,1805,0,Well6
279,4,Cy3,26,13,10,1805,0,Well6
279,4,Far-red,47,13,10,1805,0,Well6
428,1,GFP,66,13,13,1792,0,Well6
428,1,Cy3,108,13,13,1792,0,Well6
428,1,Far-red,57,13,13,1792,0,Well6
428,2,GFP,11931,13,13,1792,0,Well6
428,2,Cy3,13739,13,13,1792,0,Well6
428,2,Far-red,195,13,13,1792,0,Well6
428,3,GFP,38,13,13,1792,0,Well6
428,3,Cy3,41,13,13,1792,0,Well6
428,3,Far-red,19,13,13,1792,0,Well6
428,4,GFP,32,13,13,1792,0,Well6
428,4,Cy3,63,13,13,1792,0,Well6
428,4,Far-red,40,13,13,1792,0,Well6
568,1,GFP,47,13,16,1794,0,Well6
568,1,Cy3,49,13,16,1794,0,Well6
568,1,Far-red,48,13,16,1794,0,Well6
568,2,GFP,11176,13,16,1794,0,Well6
568,2,Cy3,12735,13,16,1794,0,Well6
568,2,Far-red,316,13,16,1794,0,Well6
568,3,GFP,71,13,16,1794,0,Well6
